Id,Probability
1,0.16326043
2,0.13231114
3,0.5582537
4,0.73313034
5,0.9029371
6,0.45473453
7,0.6929477
8,0.06754213
9,0.6411424
10,0.33985263
11,0.072711244
12,0.63461775
13,0.26997373
14,0.4784927
15,0.28780708
16,0.1022991
17,0.74239093
18,0.3588855
19,0.068509646
20,0.4158825
21,0.15337592
22,0.43288696
23,0.6283538
24,0.6650671
25,0.16216135
26,0.14997539
27,0.82920015
28,0.45429602
29,0.7533039
30,0.29032055
31,0.027477851
32,0.06633191
33,0.03195407
34,0.09708015
35,0.18318206
36,0.3787237
37,0.21561007
38,0.14943984
39,0.11571129
40,0.19425295
41,0.06540448
42,0.24270025
43,0.21197708
44,0.45581728
45,0.63515985
46,0.39853203
47,0.11880602
48,0.29825264
49,0.32144377
50,0.38153484
51,0.3683612
52,0.16579504
53,0.53224754
54,0.716623
55,0.14586943
56,0.7389691
57,0.4012496
58,0.15354742
59,0.13562594
60,0.10719267
61,0.07062536
62,0.055355377
63,0.38755697
64,0.447106
65,0.16454343
66,0.3215208
67,0.7393896
68,0.2714757
69,0.12404756
70,0.8622066
71,0.11640244
72,0.15153024
73,0.031525727
74,0.565892
75,0.10110037
76,0.11162322
77,0.5026984
78,0.111083165
79,0.044641666
80,0.038000923
81,0.4705696
82,0.14502256
83,0.71266836
84,0.30589414
85,0.10960266
86,0.378599
87,0.25022152
88,0.67674965
89,0.28898525
90,0.11885019
91,0.16600375
92,0.03929618
93,0.29351267
94,0.14913367
95,0.29174373
96,0.29057124
97,0.0693678
98,0.26768443
99,0.37982395
100,0.13065219
101,0.21775135
102,0.080358826
103,0.7999515
104,0.55409783
105,0.15190949
106,0.21632732
107,0.5539316
108,0.17311001
109,0.024919065
110,0.9519345
111,0.091077186
112,0.10194009
113,0.050793596
114,0.21092515
115,0.25850055
116,0.16057768
117,0.13138297
118,0.09822664
119,0.15102886
120,0.30025116
121,0.44197315
122,0.2282687
123,0.18355945
124,0.112123616
125,0.7655109
126,0.36769274
127,0.2163496
128,0.24018282
129,0.056762375
130,0.29840475
131,0.08600209
132,0.11944176
133,0.37004507
134,0.18612581
135,0.9634395
136,0.12580916
137,0.6042843
138,0.23735064
139,0.2955999
140,0.77201134
141,0.09513662
142,0.0670759
143,0.588944
144,0.79737836
145,0.757859
146,0.4430822
147,0.12303363
148,0.33794707
149,0.9088547
150,0.16784309
151,0.1335042
152,0.1490335
153,0.3764116
154,0.40586752
155,0.6831296
156,0.39531684
157,0.38063398
158,0.36060908
159,0.16966623
160,0.11059919
161,0.3301356
162,0.06756188
163,0.4268291
164,0.1597828
165,0.7735945
166,0.39490974
167,0.051095508
168,0.10079304
169,0.12736337
170,0.12029004
171,0.7484152
172,0.08181795
173,0.29284438
174,0.053784173
175,0.14209753
176,0.30168974
177,0.81415534
178,0.6229437
179,0.17117786
180,0.034696102
181,0.25943047
182,0.046676874
183,0.12010995
184,0.4642237
185,0.08684543
186,0.8250901
187,0.47297603
188,0.35559735
189,0.35389924
190,0.5240908
191,0.24015465
192,0.32504776
193,0.21642894
194,0.13870932
195,0.0748151
196,0.12967142
197,0.33465004
198,0.2557465
199,0.07101727
200,0.12655407
201,0.8567558
202,0.14479294
203,0.23020723
204,0.16885076
205,0.26423764
206,0.14276607
207,0.9373146
208,0.43464416
209,0.059853714
210,0.5022756
211,0.16555212
212,0.15320638
213,0.92750186
214,0.1968636
215,0.30680314
216,0.49514022
217,0.06882559
218,0.90102255
219,0.049413595
220,0.6896051
221,0.36669078
222,0.6757639
223,0.20248717
224,0.1711892
225,0.6188639
226,0.4768913
227,0.9088614
228,0.044547927
229,0.029264178
230,0.43907732
231,0.1142892
232,0.31170464
233,0.09512804
234,0.307174
235,0.25203943
236,0.11293082
237,0.14159516
238,0.75958866
239,0.0606988
240,0.123599924
241,0.6182276
242,0.07913411
243,0.12367673
244,0.18148595
245,0.20551147
246,0.26646948
247,0.4446249
248,0.12544437
249,0.50884765
250,0.5476167
251,0.13109389
252,0.5635209
253,0.10416119
254,0.2548563
255,0.2086258
256,0.21822141
257,0.13029723
258,0.6518119
259,0.2450961
260,0.36115128
261,0.20607395
262,0.38848785
263,0.2953147
264,0.32641846
265,0.10174952
266,0.6541022
267,0.46602964
268,0.4992359
269,0.12437407
270,0.11449401
271,0.1681288
272,0.19403698
273,0.07841908
274,0.108535714
275,0.07209303
276,0.18065667
277,0.27425626
278,0.14170942
279,0.12910943
280,0.3393816
281,0.15002625
282,0.16481854
283,0.2020334
284,0.1775204
285,0.3637075
286,0.11830118
